temperature_C,air_C
50.163,0.04981
50.198,0.05004
49.82,0.05009
50.027,0.04976
49.804,0.04998
50.086,0.05016
49.891,0.0499
50.08,0.04998
50.113,0.04997
50.134,0.0499
49.804,0.05021
50.208,0.05014
49.865,0.04981
49.769,0.05025
50.027,0.05019
49.935,0.04989
50.165,0.05017
50.154,0.0498
49.909,0.05025
50.226,0.05008
49.895,0.05008
50.008,0.0498
49.878,0.0502
50.218,0.04976
49.832,0.04987
49.772,0.04982
49.968,0.05014
50.246,0.04985
50.196,0.05021
50.124,0.05008
50.195,0.04977
50.197,0.04975
50.009,0.04978
49.908,0.05005
50.136,0.05015
50.081,0.04987
49.937,0.05017
49.797,0.04978
50.123,0.05015
49.881,0.05021
50.218,0.05014
49.87,0.0501
49.811,0.05017
50.166,0.04977
49.827,0.04985
49.84,0.04981
50.05,0.05
50.187,0.05012
49.848,0.05007
49.905,0.05018
50.139,0.04983
50.236,0.05012
50.0,0.04985
49.822,0.04989
49.757,0.0501
49.865,0.05024
49.816,0.05006
50.089,0.04978
49.811,0.05006
50.003,0.04977
50.097,0.05019
50.041,0.0501
49.85,0.04984
50.152,0.0498
50.108,0.04984
50.119,0.05024
49.816,0.04998
49.812,0.05014
50.214,0.05007
49.949,0.05004
49.9,0.04982
49.994,0.05022
50.081,0.0499
50.228,0.05004
49.893,0.0501
50.212,0.05007
49.762,0.05022
50.028,0.04982
50.067,0.05
49.803,0.04995
49.82,0.04999
49.96,0.04981
50.233,0.04982
50.048,0.04989
50.217,0.0499
50.152,0.04996
49.984,0.05006
50.142,0.05007
49.759,0.04996
49.805,0.04995
50.165,0.04986
