变量,时间_s,r_0_cm,r_0.5_cm,r_1_cm,r_1.5_cm,r_2_cm
温度_C,100,28.00005737,28.00036025,28.00409981,28.03283319,28.18020317
温度_C,300,28.04098167,28.06368893,28.15161783,28.36831900,28.84906292
温度_C,600,28.45373519,28.53642344,28.80430328,29.31621572,30.16544250
温度_C,900,29.32477603,29.45871176,29.87585354,30.61645239,31.73062187
温度_C,1200,30.54317503,30.71021113,31.22274622,32.11288474,33.42787634
温度_C,1500,31.99613401,32.18713025,32.76636065,33.74652071,35.12042478
温度_C,1800,33.57564236,33.77229423,34.36443850,35.36236153,36.78573310
水分浓度_kg_per_kg,100,2.55000000,2.55000000,2.55000000,2.54999993,2.24761420
水分浓度_kg_per_kg,300,2.55000000,2.55000000,2.55000000,2.54918239,2.05110303
水分浓度_kg_per_kg,600,2.55000000,2.55000000,2.54998809,2.53524451,1.87711429
水分浓度_kg_per_kg,900,2.55000000,2.54999978,2.54967967,2.50452558,1.75481774
水分浓度_kg_per_kg,1200,2.54999998,2.54999278,2.54817049,2.46456530,1.65863528
水分浓度_kg_per_kg,1500,2.54999928,2.54993690,2.54452680,2.42061717,1.57878397
水分浓度_kg_per_kg,1800,2.54999221,2.54972153,2.53828266,2.37548373,1.51028354
