scenario,N,dt_s,a,fixed,dry_time_s,dry_time_h,relative_to_main_percent,radius_end_cm,runtime_s
main_320,320,1.0,0.0,False,183879.0,51.0775,0.0,1.2,14.864418099998147
space_640,640,1.0,0.0,False,183892.0,51.08111111111111,0.007069866597064767,1.2,28.758439700002782
main,320,1.0,0.0,False,183879.0,51.0775,0.0,1.2,14.864418099998147
half_step,320,0.5,0.0,False,183878.5,51.07736111111111,-0.0002719179460375365,1.2,27.603625700008706
fixed,320,1.0,0.0,True,467267.0,129.79638888888888,154.1165657851087,2.0,33.11836880000192
shape_0.1,320,1.0,0.1,False,184166.0,51.157222222222224,0.1560809010273001,1.2,15.024401699993177
shape_0.2,320,1.0,0.2,False,184457.0,51.238055555555555,0.3143371456229449,1.2,15.15287060000992
air_T_minus,320,1.0,0.0,False,184769.0,51.32472222222222,0.48401394395227726,1.2,14.89647779999359
air_T_plus,320,1.0,0.0,False,182994.0,50.83166666666666,-0.4812947644918686,1.2,14.813948800001526
air_C_minus,320,1.0,0.0,False,183866.0,51.07388888888889,-0.0070698665970536645,1.2,15.075689299992518
air_C_plus,320,1.0,0.0,False,183892.0,51.08111111111111,0.007069866597064767,1.2,15.125780799993663
last_air,320,1.0,0.0,False,182949.0,50.81916666666667,-0.5057673796355244,1.2,14.621704699995462
