time_s,temperature_C,air_moisture_kg_kg
0.0,28.0,0.01963
60.0,28.528,0.02002
120.0,29.192,0.02053
180.0,29.684,0.021
240.0,30.037,0.02151
300.0,30.834,0.02191
360.0,31.293,0.02233
420.0,31.82,0.02278
480.0,32.121,0.02325
540.0,32.73,0.02377
600.0,33.202,0.02428
660.0,33.879,0.02465
720.0,34.268,0.02506
780.0,34.806,0.02552
840.0,35.142,0.02612
900.0,35.524,0.0266
960.0,36.091,0.02687
1020.0,36.354,0.02732
1080.0,37.067,0.02793
1140.0,37.419,0.02826
1200.0,37.882,0.02891
1260.0,38.134,0.02921
1320.0,38.767,0.02961
1380.0,39.125,0.03029
1440.0,39.458,0.03051
1500.0,39.595,0.03098
1560.0,40.061,0.03137
1620.0,40.238,0.03179
1680.0,40.621,0.03219
1740.0,41.166,0.03262
1800.0,41.513,0.03307
1860.0,41.918,0.03345
1920.0,41.952,0.03403
1980.0,42.263,0.03447
2040.0,42.589,0.03476
2100.0,42.745,0.03513
2160.0,42.985,0.03558
2220.0,43.393,0.03609
2280.0,43.534,0.03646
2340.0,43.97,0.03653
2400.0,44.102,0.03694
2460.0,44.503,0.03731
2520.0,44.663,0.03766
2580.0,44.701,0.03812
2640.0,45.138,0.0384
2700.0,45.323,0.03858
2760.0,45.324,0.03903
2820.0,45.462,0.0394
2880.0,45.818,0.03954
2940.0,45.739,0.04013
3000.0,45.93,0.04011
3060.0,45.999,0.04076
3120.0,46.512,0.0407
3180.0,46.602,0.04128
3240.0,46.761,0.04157
3300.0,46.933,0.04187
3360.0,46.912,0.04205
3420.0,47.089,0.04229
3480.0,47.008,0.04247
3540.0,47.111,0.04277
3600.0,47.485,0.04272
3660.0,47.498,0.04312
3720.0,47.646,0.04333
3780.0,47.84,0.04369
3840.0,47.873,0.04373
3900.0,47.926,0.04389
3960.0,48.016,0.0442
4020.0,47.977,0.04422
4080.0,47.926,0.04435
4140.0,48.199,0.04468
4200.0,48.166,0.04483
4260.0,48.331,0.04491
4320.0,48.615,0.04514
4380.0,48.38,0.0453
4440.0,48.357,0.04543
4500.0,48.526,0.04561
4560.0,48.59,0.04589
4620.0,48.825,0.04585
4680.0,48.827,0.04629
4740.0,48.988,0.04641
4800.0,48.979,0.04633
4860.0,48.9,0.04639
4920.0,49.144,0.0466
4980.0,48.87,0.04687
5040.0,48.84,0.04689
5100.0,48.913,0.04707
5160.0,49.261,0.04705
5220.0,49.169,0.0472
5280.0,49.056,0.04713
5340.0,49.257,0.04744
5400.0,49.116,0.04728
5460.0,49.415,0.0476
5520.0,49.321,0.04777
5580.0,49.317,0.04751
5640.0,49.304,0.04782
5700.0,49.492,0.04765
5760.0,49.384,0.04802
5820.0,49.272,0.04779
5880.0,49.31,0.04827
5940.0,49.749,0.04795
6000.0,49.743,0.04841
6060.0,49.66,0.0484
6120.0,49.463,0.04836
6180.0,49.83,0.04851
6240.0,49.753,0.04858
6300.0,49.739,0.04871
6360.0,49.622,0.04842
6420.0,49.55,0.04864
6480.0,49.477,0.04845
6540.0,49.891,0.04875
6600.0,49.683,0.04858
6660.0,49.569,0.04882
6720.0,49.633,0.04886
6780.0,49.781,0.04885
6840.0,49.592,0.04892
6900.0,49.941,0.04908
6960.0,49.902,0.04913
7020.0,49.892,0.04902
7080.0,49.759,0.04911
7140.0,49.865,0.0493
7200.0,49.852,0.04894
7260.0,49.893,0.04897
7320.0,49.619,0.04898
7380.0,49.792,0.04929
7440.0,49.612,0.0492
7500.0,49.845,0.04941
7560.0,49.77,0.04938
7620.0,49.683,0.04924
7680.0,49.669,0.04954
7740.0,49.916,0.0495
7800.0,49.714,0.04928
7860.0,50.095,0.04935
7920.0,49.929,0.04934
7980.0,49.817,0.04929
8040.0,49.943,0.0493
8100.0,49.664,0.04971
8160.0,50.135,0.04948
8220.0,49.902,0.04947
8280.0,50.056,0.04966
8340.0,49.71,0.04959
8400.0,49.915,0.0498
8460.0,49.92,0.04973
8520.0,50.147,0.0496
8580.0,49.967,0.04956
8640.0,49.921,0.04988
8700.0,49.821,0.04976
8760.0,49.856,0.04989
8820.0,49.953,0.04949
8880.0,49.915,0.04986
8940.0,49.708,0.04977
9000.0,50.163,0.04981
9060.0,50.198,0.05004
9120.0,49.82,0.05009
9180.0,50.027,0.04976
9240.0,49.804,0.04998
9300.0,50.086,0.05016
9360.0,49.891,0.0499
9420.0,50.08,0.04998
9480.0,50.113,0.04997
9540.0,50.134,0.0499
9600.0,49.804,0.05021
9660.0,50.208,0.05014
9720.0,49.865,0.04981
9780.0,49.769,0.05025
9840.0,50.027,0.05019
9900.0,49.935,0.04989
9960.0,50.165,0.05017
10020.0,50.154,0.0498
10080.0,49.909,0.05025
10140.0,50.226,0.05008
10200.0,49.895,0.05008
10260.0,50.008,0.0498
10320.0,49.878,0.0502
10380.0,50.218,0.04976
10440.0,49.832,0.04987
10500.0,49.772,0.04982
10560.0,49.968,0.05014
10620.0,50.246,0.04985
10680.0,50.196,0.05021
10740.0,50.124,0.05008
10800.0,50.195,0.04977
10860.0,50.197,0.04975
10920.0,50.009,0.04978
10980.0,49.908,0.05005
11040.0,50.136,0.05015
11100.0,50.081,0.04987
11160.0,49.937,0.05017
11220.0,49.797,0.04978
11280.0,50.123,0.05015
11340.0,49.881,0.05021
11400.0,50.218,0.05014
11460.0,49.87,0.0501
11520.0,49.811,0.05017
11580.0,50.166,0.04977
11640.0,49.827,0.04985
11700.0,49.84,0.04981
11760.0,50.05,0.05
11820.0,50.187,0.05012
11880.0,49.848,0.05007
11940.0,49.905,0.05018
12000.0,50.139,0.04983
12060.0,50.236,0.05012
12120.0,50.0,0.04985
12180.0,49.822,0.04989
12240.0,49.757,0.0501
12300.0,49.865,0.05024
12360.0,49.816,0.05006
12420.0,50.089,0.04978
12480.0,49.811,0.05006
12540.0,50.003,0.04977
12600.0,50.097,0.05019
12660.0,50.041,0.0501
12720.0,49.85,0.04984
12780.0,50.152,0.0498
12840.0,50.108,0.04984
12900.0,50.119,0.05024
12960.0,49.816,0.04998
13020.0,49.812,0.05014
13080.0,50.214,0.05007
13140.0,49.949,0.05004
13200.0,49.9,0.04982
13260.0,49.994,0.05022
13320.0,50.081,0.0499
13380.0,50.228,0.05004
13440.0,49.893,0.0501
13500.0,50.212,0.05007
13560.0,49.762,0.05022
13620.0,50.028,0.04982
13680.0,50.067,0.05
13740.0,49.803,0.04995
13800.0,49.82,0.04999
13860.0,49.96,0.04981
13920.0,50.233,0.04982
13980.0,50.048,0.04989
14040.0,50.217,0.0499
