time_s,radius_cm
0.0,2.0
1800.0,1.873
3600.0,1.794
5400.0,1.703
7200.0,1.625
9000.0,1.5890000000000002
10800.0,1.552
12600.0,1.51
14400.0,1.477
16200.0,1.447
18000.0,1.424
19800.0,1.397
21600.0,1.374
23400.0,1.356
25200.0,1.337
27000.0,1.321
28800.0,1.311
30600.0,1.299
32400.0,1.291
34200.0,1.281
36000.0,1.273
37800.0,1.266
39600.0,1.26
41400.0,1.253
43200.0,1.248
45000.0,1.244
46800.0,1.24
48600.0,1.236
50400.0,1.233
52200.0,1.229
54000.0,1.226
55800.0,1.223
57600.0,1.221
59400.0,1.219
61200.0,1.218
63000.0,1.216
64800.0,1.214
66600.0,1.213
68400.0,1.212
70200.0,1.211
72000.0,1.21
73800.0,1.209
75600.0,1.208
77400.0,1.207
79200.0,1.206
81000.0,1.206
82800.0,1.205
84600.0,1.205
86400.0,1.204
88200.0,1.204
90000.0,1.203
91800.0,1.203
93600.0,1.203
95400.0,1.203
97200.0,1.202
99000.0,1.202
100800.0,1.202
102600.0,1.202
104400.0,1.202
106200.0,1.201
108000.0,1.201
109800.0,1.201
111600.0,1.201
113400.0,1.201
115200.0,1.201
117000.0,1.201
118800.0,1.201
120600.0,1.201
122400.0,1.201
124200.0,1.201
126000.0,1.2
127800.0,1.2
129600.0,1.2
131400.0,1.2
133200.0,1.2
135000.0,1.2
136800.0,1.2
138600.0,1.2
140400.0,1.2
142200.0,1.2
144000.0,1.2
145800.0,1.2
147600.0,1.2
149400.0,1.2
151200.0,1.2
153000.0,1.2
154800.0,1.2
156600.0,1.2
158400.0,1.2
160200.0,1.2
162000.0,1.2
163800.0,1.2
165600.0,1.2
167400.0,1.2
169200.0,1.2
171000.0,1.2
172800.0,1.2
174600.0,1.2
176400.0,1.2
178200.0,1.2
180000.0,1.2
181800.0,1.2
183600.0,1.2
185400.0,1.2
187200.0,1.2
189000.0,1.2
190800.0,1.2
192600.0,1.2
194400.0,1.2
196200.0,1.2
198000.0,1.2
199800.0,1.2
201600.0,1.2
203400.0,1.2
205200.0,1.2
207000.0,1.2
208800.0,1.199
210600.0,1.199
212400.0,1.199
214200.0,1.199
216000.0,1.199
217800.0,1.199
219600.0,1.199
221400.0,1.199
223200.0,1.199
225000.0,1.199
226800.0,1.199
228600.0,1.199
230400.0,1.199
232200.0,1.199
234000.0,1.199
235800.0,1.199
237600.0,1.199
239400.0,1.199
241200.0,1.198
243000.0,1.198
244800.0,1.198
246600.0,1.198
248400.0,1.198
250200.0,1.198
252000.0,1.198
253800.0,1.198
255600.0,1.198
257400.0,1.198
259200.0,1.198
