time_h,radius_cm
0.0,2.0
0.5,1.873
1.0,1.794
1.5,1.703
2.0,1.625
2.5,1.5890000000000002
3.0,1.552
3.5,1.51
4.0,1.477
4.5,1.447
5.0,1.424
5.5,1.397
6.0,1.374
6.5,1.356
7.0,1.337
7.5,1.321
8.0,1.311
8.5,1.299
9.0,1.291
9.5,1.281
10.0,1.273
10.5,1.266
11.0,1.26
11.5,1.253
12.0,1.248
12.5,1.244
13.0,1.24
13.5,1.236
14.0,1.233
14.5,1.229
15.0,1.226
15.5,1.223
16.0,1.221
16.5,1.219
17.0,1.218
17.5,1.216
18.0,1.214
18.5,1.213
19.0,1.212
19.5,1.211
20.0,1.21
20.5,1.209
21.0,1.208
21.5,1.207
22.0,1.206
22.5,1.206
23.0,1.205
23.5,1.205
24.0,1.204
24.5,1.204
25.0,1.203
25.5,1.203
26.0,1.203
26.5,1.203
27.0,1.202
27.5,1.202
28.0,1.202
28.5,1.202
29.0,1.202
29.5,1.201
30.0,1.201
30.5,1.201
31.0,1.201
31.5,1.201
32.0,1.201
32.5,1.201
33.0,1.201
33.5,1.201
34.0,1.201
34.5,1.201
35.0,1.2
35.5,1.2
36.0,1.2
36.5,1.2
37.0,1.2
37.5,1.2
38.0,1.2
38.5,1.2
39.0,1.2
39.5,1.2
40.0,1.2
40.5,1.2
41.0,1.2
41.5,1.2
42.0,1.2
42.5,1.2
43.0,1.2
43.5,1.2
44.0,1.2
44.5,1.2
45.0,1.2
45.5,1.2
46.0,1.2
46.5,1.2
47.0,1.2
47.5,1.2
48.0,1.2
48.5,1.2
49.0,1.2
49.5,1.2
50.0,1.2
50.5,1.2
51.0,1.2
51.5,1.2
52.0,1.2
52.5,1.2
53.0,1.2
53.5,1.2
54.0,1.2
54.5,1.2
55.0,1.2
55.5,1.2
56.0,1.2
56.5,1.2
57.0,1.2
57.5,1.2
58.0,1.199
58.5,1.199
59.0,1.199
59.5,1.199
60.0,1.199
60.5,1.199
61.0,1.199
61.5,1.199
62.0,1.199
62.5,1.199
63.0,1.199
63.5,1.199
64.0,1.199
64.5,1.199
65.0,1.199
65.5,1.199
66.0,1.199
66.5,1.199
67.0,1.198
67.5,1.198
68.0,1.198
68.5,1.198
69.0,1.198
69.5,1.198
70.0,1.198
70.5,1.198
71.0,1.198
71.5,1.198
72.0,1.198
