时间_s,温度_C,空气含湿量_kg_kg,时间_h
0,28.0,0.01963,0.0
60,28.528,0.02002,0.016666666666666666
120,29.192,0.02053,0.03333333333333333
180,29.684,0.021,0.05
240,30.037,0.02151,0.06666666666666667
300,30.834,0.02191,0.08333333333333333
360,31.293,0.02233,0.1
420,31.82,0.02278,0.11666666666666667
480,32.121,0.02325,0.13333333333333333
540,32.73,0.02377,0.15
600,33.202,0.02428,0.16666666666666666
660,33.879,0.02465,0.18333333333333332
720,34.268,0.02506,0.2
780,34.806,0.02552,0.21666666666666667
840,35.142,0.02612,0.23333333333333334
900,35.524,0.0266,0.25
960,36.091,0.02687,0.26666666666666666
1020,36.354,0.02732,0.2833333333333333
1080,37.067,0.02793,0.3
1140,37.419,0.02826,0.31666666666666665
1200,37.882,0.02891,0.3333333333333333
1260,38.134,0.02921,0.35
1320,38.767,0.02961,0.36666666666666664
1380,39.125,0.03029,0.38333333333333336
1440,39.458,0.03051,0.4
1500,39.595,0.03098,0.4166666666666667
1560,40.061,0.03137,0.43333333333333335
1620,40.238,0.03179,0.45
1680,40.621,0.03219,0.4666666666666667
1740,41.166,0.03262,0.48333333333333334
1800,41.513,0.03307,0.5
1860,41.918,0.03345,0.5166666666666667
1920,41.952,0.03403,0.5333333333333333
1980,42.263,0.03447,0.55
2040,42.589,0.03476,0.5666666666666667
2100,42.745,0.03513,0.5833333333333334
2160,42.985,0.03558,0.6
2220,43.393,0.03609,0.6166666666666667
2280,43.534,0.03646,0.6333333333333333
2340,43.97,0.03653,0.65
2400,44.102,0.03694,0.6666666666666666
2460,44.503,0.03731,0.6833333333333333
2520,44.663,0.03766,0.7
2580,44.701,0.03812,0.7166666666666667
2640,45.138,0.0384,0.7333333333333333
2700,45.323,0.03858,0.75
2760,45.324,0.03903,0.7666666666666667
2820,45.462,0.0394,0.7833333333333333
2880,45.818,0.03954,0.8
2940,45.739,0.04013,0.8166666666666667
3000,45.93,0.04011,0.8333333333333334
3060,45.999,0.04076,0.85
3120,46.512,0.0407,0.8666666666666667
3180,46.602,0.04128,0.8833333333333333
3240,46.761,0.04157,0.9
3300,46.933,0.04187,0.9166666666666666
3360,46.912,0.04205,0.9333333333333333
3420,47.089,0.04229,0.95
3480,47.008,0.04247,0.9666666666666667
3540,47.111,0.04277,0.9833333333333333
3600,47.485,0.04272,1.0
3660,47.498,0.04312,1.0166666666666666
3720,47.646,0.04333,1.0333333333333334
3780,47.84,0.04369,1.05
3840,47.873,0.04373,1.0666666666666667
3900,47.926,0.04389,1.0833333333333333
3960,48.016,0.0442,1.1
4020,47.977,0.04422,1.1166666666666667
4080,47.926,0.04435,1.1333333333333333
4140,48.199,0.04468,1.15
4200,48.166,0.04483,1.1666666666666667
4260,48.331,0.04491,1.1833333333333333
4320,48.615,0.04514,1.2
4380,48.38,0.0453,1.2166666666666666
4440,48.357,0.04543,1.2333333333333334
4500,48.526,0.04561,1.25
4560,48.59,0.04589,1.2666666666666666
4620,48.825,0.04585,1.2833333333333334
4680,48.827,0.04629,1.3
4740,48.988,0.04641,1.3166666666666667
4800,48.979,0.04633,1.3333333333333333
4860,48.9,0.04639,1.35
4920,49.144,0.0466,1.3666666666666667
4980,48.87,0.04687,1.3833333333333333
5040,48.84,0.04689,1.4
5100,48.913,0.04707,1.4166666666666667
5160,49.261,0.04705,1.4333333333333333
5220,49.169,0.0472,1.45
5280,49.056,0.04713,1.4666666666666666
5340,49.257,0.04744,1.4833333333333334
5400,49.116,0.04728,1.5
5460,49.415,0.0476,1.5166666666666666
5520,49.321,0.04777,1.5333333333333334
5580,49.317,0.04751,1.55
5640,49.304,0.04782,1.5666666666666667
5700,49.492,0.04765,1.5833333333333333
5760,49.384,0.04802,1.6
5820,49.272,0.04779,1.6166666666666667
5880,49.31,0.04827,1.6333333333333333
5940,49.749,0.04795,1.65
6000,49.743,0.04841,1.6666666666666667
6060,49.66,0.0484,1.6833333333333333
6120,49.463,0.04836,1.7
6180,49.83,0.04851,1.7166666666666666
6240,49.753,0.04858,1.7333333333333334
6300,49.739,0.04871,1.75
6360,49.622,0.04842,1.7666666666666666
6420,49.55,0.04864,1.7833333333333334
6480,49.477,0.04845,1.8
6540,49.891,0.04875,1.8166666666666667
6600,49.683,0.04858,1.8333333333333333
6660,49.569,0.04882,1.85
6720,49.633,0.04886,1.8666666666666667
6780,49.781,0.04885,1.8833333333333333
6840,49.592,0.04892,1.9
6900,49.941,0.04908,1.9166666666666667
6960,49.902,0.04913,1.9333333333333333
7020,49.892,0.04902,1.95
7080,49.759,0.04911,1.9666666666666666
7140,49.865,0.0493,1.9833333333333334
7200,49.852,0.04894,2.0
7260,49.893,0.04897,2.0166666666666666
7320,49.619,0.04898,2.033333333333333
7380,49.792,0.04929,2.05
7440,49.612,0.0492,2.066666666666667
7500,49.845,0.04941,2.0833333333333335
7560,49.77,0.04938,2.1
7620,49.683,0.04924,2.1166666666666667
7680,49.669,0.04954,2.1333333333333333
7740,49.916,0.0495,2.15
7800,49.714,0.04928,2.1666666666666665
7860,50.095,0.04935,2.183333333333333
7920,49.929,0.04934,2.2
7980,49.817,0.04929,2.216666666666667
8040,49.943,0.0493,2.2333333333333334
8100,49.664,0.04971,2.25
8160,50.135,0.04948,2.2666666666666666
8220,49.902,0.04947,2.283333333333333
8280,50.056,0.04966,2.3
8340,49.71,0.04959,2.316666666666667
8400,49.915,0.0498,2.3333333333333335
8460,49.92,0.04973,2.35
8520,50.147,0.0496,2.3666666666666667
8580,49.967,0.04956,2.3833333333333333
8640,49.921,0.04988,2.4
8700,49.821,0.04976,2.4166666666666665
8760,49.856,0.04989,2.433333333333333
8820,49.953,0.04949,2.45
8880,49.915,0.04986,2.466666666666667
8940,49.708,0.04977,2.4833333333333334
9000,50.163,0.04981,2.5
9060,50.198,0.05004,2.5166666666666666
9120,49.82,0.05009,2.533333333333333
9180,50.027,0.04976,2.55
9240,49.804,0.04998,2.566666666666667
9300,50.086,0.05016,2.5833333333333335
9360,49.891,0.0499,2.6
9420,50.08,0.04998,2.6166666666666667
9480,50.113,0.04997,2.6333333333333333
9540,50.134,0.0499,2.65
9600,49.804,0.05021,2.6666666666666665
9660,50.208,0.05014,2.683333333333333
9720,49.865,0.04981,2.7
9780,49.769,0.05025,2.716666666666667
9840,50.027,0.05019,2.7333333333333334
9900,49.935,0.04989,2.75
9960,50.165,0.05017,2.7666666666666666
10020,50.154,0.0498,2.783333333333333
10080,49.909,0.05025,2.8
10140,50.226,0.05008,2.816666666666667
10200,49.895,0.05008,2.8333333333333335
10260,50.008,0.0498,2.85
10320,49.878,0.0502,2.8666666666666667
10380,50.218,0.04976,2.8833333333333333
10440,49.832,0.04987,2.9
10500,49.772,0.04982,2.9166666666666665
10560,49.968,0.05014,2.933333333333333
10620,50.246,0.04985,2.95
10680,50.196,0.05021,2.966666666666667
10740,50.124,0.05008,2.9833333333333334
10800,50.195,0.04977,3.0
