time_s,time_h,moisture_0_cm,moisture_0.5_cm,moisture_1_cm,moisture_1.5_cm,moisture_2_cm,maximum_moisture,maximum_radius_cm
0.000000,0.0000000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,0.00000000
60.000000,0.0166666667,2.5500000000,2.5500000000,2.5500000000,2.5499999999,2.3272176622,2.5500000000,0.00000000
120.000000,0.0333333333,2.5500000000,2.5500000000,2.5500000000,2.5499981645,2.2421770782,2.5500000000,0.82500000
180.000000,0.0500000000,2.5500000000,2.5500000000,2.5500000000,2.5499342585,2.1798968625,2.5500000000,0.06250000
240.000000,0.0666666667,2.5500000000,2.5500000000,2.5499999998,2.5495586646,2.1293330574,2.5500000000,0.11250000
300.000000,0.0833333333,2.5500000000,2.5500000000,2.5499999907,2.5485314240,2.0863938652,2.5500000000,0.40625000
360.000000,0.1000000000,2.5500000000,2.5500000000,2.5499998611,2.5466015916,2.0489064278,2.5500000000,0.11250000
420.000000,0.1166666667,2.5500000000,2.5500000000,2.5499990055,2.5436503197,2.0154889208,2.5500000000,0.00000000
480.000000,0.1333333333,2.5500000000,2.5500000000,2.5499955249,2.5396614761,1.9852481671,2.5500000000,0.00000000
540.000000,0.1500000000,2.5500000000,2.5499999996,2.5499852823,2.5346828669,1.9576613933,2.5500000000,0.00000000
600.000000,0.1666666667,2.5500000000,2.5499999972,2.5499612342,2.5287935551,1.9323502587,2.5500000000,0.00000000
660.000000,0.1833333333,2.5500000000,2.5499999853,2.5499132662,2.5220837924,1.9090068815,2.5500000000,0.00000000
720.000000,0.2000000000,2.5500000000,2.5499999409,2.5498284990,2.5146435209,1.8873342940,2.5500000000,0.00000000
780.000000,0.2166666667,2.5499999999,2.5499998053,2.5496918918,2.5065602831,1.8671009377,2.5499999999,0.00000000
840.000000,0.2333333333,2.5499999997,2.5499994536,2.5494869903,2.4979160391,1.8481334266,2.5499999997,0.00000000
900.000000,0.2500000000,2.5499999987,2.5499986514,2.5491966716,2.4887872984,1.8302492529,2.5499999987,0.00000000
960.000000,0.2666666667,2.5499999953,2.5499970034,2.5488038349,2.4792438861,1.8134158574,2.5499999953,0.00000000
