时间_h,0_cm,0.5_cm,1_cm,1.5_cm,2_cm
6.000000,1.01691847,0.98809268,0.90149416,0.75499796,0.53280982
12.000000,0.45610313,0.44312076,0.40303990,0.32971413,0.16418312
18.000000,0.29880929,0.29151944,0.26868142,0.22527101,0.08450111
24.000000,0.23776687,0.23270626,0.21668908,0.18549724,0.06648904
30.000000,0.20578685,0.20180658,0.18912250,0.16402510,0.05984159
36.000000,0.18583688,0.18248716,0.17176159,0.15030272,0.05664233
42.000000,0.17202298,0.16908764,0.15965569,0.14062892,0.05484421
48.000000,0.16178345,0.15914264,0.15063373,0.13335845,0.05372491
54.000000,0.15382302,0.15140335,0.14358970,0.12764347,0.05297601
57.432222,0.14999973,0.14768376,0.14019680,0.12487822,0.05265283
