时间_s,Picard迭代次数
0.0,0
60.0,4
120.0,4
180.0,4
240.0,4
300.0,4
360.0,4
420.0,4
480.0,4
540.0,4
600.0,4
660.0,4
720.0,4
780.0,4
840.0,4
900.0,4
960.0,4
1020.0,4
1080.0,4
1140.0,4
1200.0,4
1260.0,4
1320.0,4
1380.0,4
1440.0,4
1500.0,4
1560.0,4
1620.0,4
1680.0,4
1740.0,4
1800.0,4
1860.0,4
1920.0,4
1980.0,4
2040.0,4
2100.0,4
2160.0,4
2220.0,4
2280.0,4
2340.0,4
2400.0,4
2460.0,4
2520.0,4
2580.0,4
2640.0,4
2700.0,4
2760.0,4
2820.0,4
2880.0,4
2940.0,4
3000.0,4
3060.0,4
3120.0,4
3180.0,4
3240.0,4
3300.0,4
3360.0,4
3420.0,4
3480.0,4
3540.0,4
3600.0,4
3660.0,4
3720.0,4
3780.0,4
3840.0,4
3900.0,4
3960.0,4
4020.0,4
4080.0,4
4140.0,4
4200.0,4
4260.0,4
4320.0,4
4380.0,4
4440.0,4
4500.0,4
4560.0,4
4620.0,4
4680.0,4
4740.0,4
4800.0,4
4860.0,4
4920.0,4
4980.0,4
5040.0,4
5100.0,4
5160.0,4
5220.0,4
5280.0,4
5340.0,4
5400.0,4
5460.0,4
5520.0,4
5580.0,4
5640.0,4
5700.0,4
5760.0,4
5820.0,4
5880.0,4
5940.0,4
6000.0,4
6060.0,4
6120.0,4
6180.0,4
6240.0,4
6300.0,4
6360.0,4
6420.0,4
6480.0,4
6540.0,4
6600.0,4
6660.0,4
6720.0,4
6780.0,4
6840.0,4
6900.0,4
6960.0,4
7020.0,4
7080.0,4
7140.0,4
7200.0,4
7260.0,4
7320.0,4
7380.0,4
7440.0,4
7500.0,4
7560.0,4
7620.0,4
7680.0,4
7740.0,4
7800.0,4
7860.0,4
7920.0,4
7980.0,4
8040.0,4
8100.0,4
8160.0,4
8220.0,4
8280.0,4
8340.0,4
8400.0,4
8460.0,4
8520.0,4
8580.0,4
8640.0,4
8700.0,4
8760.0,4
8820.0,4
8880.0,4
8940.0,4
9000.0,4
9060.0,4
9120.0,4
9180.0,4
9240.0,4
9300.0,4
9360.0,4
9420.0,4
9480.0,4
9540.0,4
9600.0,4
9660.0,4
9720.0,4
9780.0,4
9840.0,4
9900.0,4
9960.0,4
10020.0,4
10080.0,4
10140.0,4
10200.0,4
10260.0,4
10320.0,4
10380.0,4
10440.0,4
10500.0,4
10560.0,4
10620.0,4
10680.0,4
10740.0,4
10800.0,4
10860.0,4
10920.0,4
10980.0,4
11040.0,4
11100.0,4
11160.0,4
11220.0,4
11280.0,4
11340.0,4
11400.0,4
11460.0,4
11520.0,4
11580.0,4
11640.0,4
11700.0,4
11760.0,4
11820.0,4
11880.0,4
11940.0,4
12000.0,4
12060.0,4
12120.0,4
12180.0,4
12240.0,4
12300.0,4
12360.0,4
12420.0,4
12480.0,4
12540.0,4
12600.0,4
12660.0,4
12720.0,4
12780.0,4
12840.0,4
12900.0,4
12960.0,4
13020.0,4
13080.0,4
13140.0,4
13200.0,4
13260.0,4
13320.0,4
13380.0,4
13440.0,4
13500.0,4
13560.0,4
13620.0,4
13680.0,4
13740.0,4
13800.0,4
13860.0,4
13920.0,4
13980.0,4
14040.0,4
14100.0,4
14160.0,4
14220.0,4
14280.0,4
14340.0,4
14400.0,4
14460.0,4
14520.0,4
14580.0,4
14640.0,4
14700.0,4
14760.0,4
14820.0,4
14880.0,4
14940.0,4
15000.0,4
15060.0,4
15120.0,4
15180.0,4
15240.0,4
15300.0,4
15360.0,4
15420.0,4
15480.0,4
