scenario,N,dt_s,a,fixed,h_W_m2_K,hm_m_s,dry_time_s,dry_time_h,relative_to_main_percent,radius_end_cm,runtime_s
main_320,320,1.0,0.0,False,25.0,8e-07,183879.0,51.0775,0.0,1.2,21.732995599973947
space_640,640,1.0,0.0,False,25.0,8e-07,183892.0,51.08111111111111,0.007069866597064767,1.2,28.29646760004107
main,320,1.0,0.0,False,25.0,8e-07,183879.0,51.0775,0.0,1.2,21.732995599973947
half_step,320,0.5,0.0,False,25.0,8e-07,183878.5,51.07736111111111,-0.0002719179460375365,1.2,28.744642200006638
fixed,320,1.0,0.0,True,25.0,8e-07,467267.0,129.79638888888888,154.1165657851087,2.0,34.357191500021145
shape_-0.2,320,1.0,-0.2,False,25.0,8e-07,183320.0,50.922222222222224,-0.3040042636733964,1.2,15.589060899976175
shape_-0.1,320,1.0,-0.1,False,25.0,8e-07,183597.0,50.99916666666667,-0.15336172156690253,1.2,15.73286399996141
shape_0.1,320,1.0,0.1,False,25.0,8e-07,184166.0,51.157222222222224,0.1560809010273001,1.2,15.77385569998296
shape_0.2,320,1.0,0.2,False,25.0,8e-07,184457.0,51.238055555555555,0.3143371456229449,1.2,15.838108199997805
h_0.8,320,1.0,0.0,False,20.0,8e-07,183944.0,51.095555555555556,0.035349332985279425,1.2,15.614237500005402
h_1.2,320,1.0,0.0,False,30.0,8e-07,183836.0,51.065555555555555,-0.023384943359494592,1.2,15.625706499966327
hm_0.8,320,1.0,0.0,False,25.0,6.4e-07,186353.0,51.764722222222225,1.3454499970088962,1.2,15.860111100017093
hm_1.2,320,1.0,0.0,False,25.0,9.6e-07,182462.0,50.68388888888889,-0.7706154590790715,1.2,15.377793000021484
air_T_minus,320,1.0,0.0,False,25.0,8e-07,184769.0,51.32472222222222,0.48401394395227726,1.2,15.651401999988593
air_T_plus,320,1.0,0.0,False,25.0,8e-07,182994.0,50.83166666666666,-0.4812947644918686,1.2,15.640145400015172
air_C_minus,320,1.0,0.0,False,25.0,8e-07,183866.0,51.07388888888889,-0.0070698665970536645,1.2,15.75452379998751
air_C_plus,320,1.0,0.0,False,25.0,8e-07,183892.0,51.08111111111111,0.007069866597064767,1.2,15.650349400006235
last_air,320,1.0,0.0,False,25.0,8e-07,182949.0,50.81916666666667,-0.5057673796355244,1.2,15.59292019996792
